Former firm,New firm,Number of Moves,New job titles,Teams (IMP defined),Seniorities (IMP defined)
AMP Capital,IFM Investors,1,"Head of Real Estate","Deal/investment team","Senior Managing Director"
CBRE Asia Pacific,IFM Investors,1,"Head of Property","Deal/investment team","Managing Director"
Dexus,PGIM,1,"Head of Real Estate Equity, Australia","Deal/investment team","Senior Managing Director"
ISPT,IFM Investors,6,"Chief Sustainability Officer, Real Estate; Head of Portfolio, Office; Head of Property Operations; Head of Strategic Research | Real Estate; Head of Capital Works & Technical Services; Head of Portfolio, Industrial","ESG; Portfolio operations; Strategy; Technology; Deal/investment team","Senior Managing Director; Advisor"
Rest,CVC,1,"Managing Director / Deputy CIO","Deal/investment team","Managing Director"
Other,PGIM,1,"Head of Australia Real Estate Debt","Deal/investment team","Senior Managing Director"
Other,EQT,1,"Industry Advisor","Strategy","Advisor"
McKinsey & Company,CVC,1,"Operating Partner","Operations","Senior Managing Director"
AURIN Investment Group,Apollo Global Management,1,"Advisor","Strategy","Advisor"
BlackRock,Ares Management Corporation,1,"Head of Wealth Distribution Germany & Austria","Deal/investment team","Senior Managing Director"
BlackRock,Blackstone,2,"Managing Director,  Blackstone Institutional Client Solutions; Managing Director","IR (capital raising); Deal/investment team","Managing Director"
Deutsche Bank,DWS Group,1,"Head of Private Corporate Credit","Deal/investment team","Senior Managing Director"
Vitruvian Partners,EQT,1,"Managing Director, Growth investment team","IR (capital raising)","Managing Director"
Bharti Realty,Brookfield,1,"Head of Operations","Operations","Managing Director"
Deutsche Bank,Blackstone,1,"Managing Director","IR (non-capital raising)","Managing Director"
Other,Bain Capital,1,"Partner, Head of India Special Situations and Real Estate","Deal/investment team","Partner"
BlackRock,IFM Investors,1,"Global Client Solutions IFM Investors","IR (non-capital raising)","Senior Managing Director"
Volue,Partners Group,1,"Managing Director","Technology","Managing Director"
Asian Development Bank (ADB),EQT,1,"Advisor","Strategy","Senior Managing Director"
Google,Warburg Pincus LLC,1,"Senior Technology & AI Advisor","Technology","Advisor"
Granite Asia,"Oaktree Capital Management, L.P.",1,"Managing Director and Co-Head of Asia (Performing Credit)","IR (capital raising)","Managing Director"
Santander Corporate & Investment Banking,Apollo Global Management,2,"Managing Director","IR (non-capital raising); Deal/investment team","Managing Director"
Bardo,CVC,1,"Managing Director, Digital Enablement","Technology","Managing Director"
BlackRock,DWS Group,1,"Head of Institutional Coverage for Switzerland","IR (non-capital raising)","Senior Managing Director"
UBS,Partners Group,1,"Private Equity Investments, Managing Director","Deal/investment team","Managing Director"
ZEDRA Group,CVC,1,"Industry Advisor","Strategy","Advisor"
Other,Partners Group,1,"Senior Advisor","Strategy","Advisor"
Sequent Group,Partners Group,1,"Global Head Reporting","Accounting","Senior Managing Director"
Warburg Pincus LLC,Partners Group,1,"Partner, Co-Head of Technology","Technology","Senior Managing Director"
AB CarVal,Blackstone,1,"Senior Managing Director, Head of European Residential and Consumer Credit","Deal/investment team","Senior Managing Director"
Allianz Global Investors,DWS Group,1,"Head of Market Data Services","Quant/data science","Senior Managing Director"
Apollo Global Management,Blackstone,1,"Head of European Corporate Private Equity","Deal/investment team","Senior Managing Director"
Chenavari Investment Managers,"Oaktree Capital Management, L.P.",1,"Managing  Director - Product Strategy","Strategy","Managing Director"
ClearBank,Brookfield,1,"CPTO Advisor","Technology","Advisor"
Davies Group,CVC,1,"Interim Head of Portfolio Procurement","Portfolio operations","Senior Managing Director"
DB Investment Partners,DWS Group,1,"Private Credit COO","Operations","C-level"
Ennov,CVC,1,"Portfolio Technology Advisor","Technology","Advisor"
ICG,CVC,1,"Managing Director and Head of Risk","Risk","Managing Director"
JLL,EQT,1,"Senior Business Consultant","Strategy","Advisor"
Morgan Stanley,CVC,1,"Head of Shareholder Relations","IR (non-capital raising)","Senior Managing Director"
Morgan Stanley,Blackstone,1,"Senior Managing Director & Vice Chairman, Europe","Business development","Senior Managing Director"
Prudential plc,Blackstone,1,"Managing Director - Insurance Regulatory Solutions","Risk","Managing Director"
Rothschild & Co,The Carlyle Group,1,"EMEA Head of Compliance","Compliance","Senior Managing Director"
Simpson Thacher & Bartlett LLP,EQT,1,"Legal Director","Legal","Director/Principal"
Other,Brookfield,2,"Managing Director; Head of Investments Data & Analytics Engineering","Deal/investment team; Quant/data science","Managing Director; Senior Managing Director"
Abata Therapeutics,Bain Capital,1,"Managing Director, Life Sciences","Deal/investment team","Managing Director"
AEA Investors LP,The Carlyle Group,1,"Managing Director","IR (capital raising)","Managing Director"
AIG,Blackstone,1,"Managing Director","Accounting","Managing Director"
Aksia,Apollo Global Management,1,"Managing Director","IR (capital raising)","Managing Director"
AllianceBernstein,Apollo Global Management,1,"Managing Director, COO of Investment Grade Credit","Deal/investment team","Managing Director"
Bessemer Trust,Blue Owl Capital,1,"Managing Director & Global Controller","Accounting","Managing Director"
Bloomberg LP,KKR,1,"Managing Director, Global Head of Investment Technology","Technology","Managing Director"
Brigade Capital Management,The Carlyle Group,1,"Chief Technology Officer, Global Credit","Technology","C-level"
Citi,Apollo Global Management,2,"Managing Director Strategic Finance - Head of Resource Management; Managing Director, Global Head of Liquidity Management at Apollo","Accounting; Operations","Managing Director"
Credit Suisse,Apollo Global Management,1,"COO - FIG & Strategy","Operations","C-level"
Crescent Capital Group LP,The Carlyle Group,1,"Managing Director","Deal/investment team","Managing Director"
ESL FACEIT Group - EFG,The Carlyle Group,1,"Head of Data & Analytics for Investor Relations","IR (non-capital raising)","Senior Managing Director"
Fortress Investment Group,Ares Management Corporation,1,"Managing Director, Ares Real Estate","Deal/investment team","Managing Director"
Global Atlantic Financial Group Limited,KKR,1,"Managing Director","Deal/investment team","Managing Director"
Goldman Sachs,The Carlyle Group,2,"Head of Portfolio Allocation; Partner - North America Head Of Client Business","Portfolio operations; IR (non-capital raising)","Senior Managing Director"
H.I.G. Capital,The Carlyle Group,1,"Managing Director - Carlyle Global Credit","IR (capital raising)","Managing Director"
Invesco,Apollo Global Management,1,"Partner, Head of Real Estate Equity","Deal/investment team","Partner"
JP Morgan,Blackstone,1,"Managing Director, Product Speciallst Team (Private Credit)","IR (non-capital raising)","Managing Director"
KKR,TPG,1,"Global Head of Family Office","Deal/investment team","Senior Managing Director"
KKR,Blackstone,1,"Managing Director","Portfolio operations","Managing Director"
KKR,Blue Owl Capital,1,"Managing Director, Head of North America Insurance Portfolio Strategy","IR (non-capital raising)","Managing Director"
Legion Technologies,"Oaktree Capital Management, L.P.",1,"Head of AI and Data Science","Technology","Managing Director"
LTS Investments,Brookfield,1,"Senior Advisor","Business development","Advisor"
McKinsey & Company,Apollo Global Management,1,"Partner, Co-Head of New Markets","Deal/investment team","Senior Managing Director"
Microsoft,Warburg Pincus LLC,1,"AI Advisor","Technology","Advisor"
MidCap Financial,Blackstone,1,"Managing Director","Capital markets","Managing Director"
Nike,Apollo Global Management,1,"Partner & Chief Sustainability Officer","Operations","Partner"
"Nuveen, a TIAA company",Ares Management Corporation,1,"Partner, Chief Information Officer and Head of Technology","Technology","C-level"
"Oak Hill Advisors, L.P.",Apollo Global Management,1,"Managing Director","Deal/investment team","Managing Director"
Optum,TPG,1,"Managing Director","Strategy","Managing Director"
Palantir Technologies,Blackstone,1,"Managing Director","Quant/data science","Managing Director"
PGIM Quantative Solutions,PGIM,1,"V.P., Head Of Operations","Operations","VP"
PNC,Apollo Global Management,1,"Managing Director, Originations","Deal/investment team","Managing Director"
Prosperity Life Insurance Group,Bain Capital,1,"Managing Director, Insurance Team","Deal/investment team","Managing Director"
Providence Equity,Partners Group,1,"Managing Director","Deal/investment team","Managing Director"
PSP Investments,Brookfield,1,"Head of Strategy, Credit","Strategy","Senior Managing Director"
Signify,EQT,1,"Advisor","Technology","Advisor"
Sixth Street Partners,Ares Management Corporation,1,"Managing Director","Deal/investment team","Managing Director"
Soros Fund Management,Apollo Global Management,1,"Managing Director","IR (capital raising)","Managing Director"
Standard Investments,Blackstone,1,"Senior Managing Director, Private Equity, Chief Operating Officer","Operations","Senior Managing Director"
State Street Global Advisors,Blue Owl Capital,1,"Head of Defined Contribution Retirement Solutions","Deal/investment team","Senior Managing Director"
Sumitomo Mitsui Banking Corporation,Ares Management Corporation,1,"Managing Director","Deal/investment team","Managing Director"
The Carlyle Group,Blue Owl Capital,1,"Managing Director","Deal/investment team","Managing Director"
TPG,Apollo Global Management,1,"Operating Partner","Strategy","Partner"
Treville Capital Group,KKR,1,"Managing Director","Deal/investment team","Managing Director"
Trilantic North America,Apollo Global Management,1,"Managing Director, Hybrid Equity","Deal/investment team","Managing Director"
True Wind Capital,TPG,1,"Partner","Business development","Partner"
VÃ¤rde Partners,Blackstone,1,"Managing Director","IR (capital raising)","Managing Director"
Visteon Corporation,EQT,1,"Advisor","Strategy","Senior Managing Director"
WebPT,Warburg Pincus LLC,1,"Managing Director, Value Creation Team","Operations","Managing Director"
WEX,"Oaktree Capital Management, L.P.",1,"Managing Director, Head of Product Management","IR (non-capital raising)","Managing Director"
X,TPG,1,"Senior Advisor","Strategy","Advisor"
Other,TPG,1,"Operating Partner/Managing Director","Portfolio operations","Managing Director"