New firm,Country after move,City after move
IFM Investors,Australia,Sydney
IFM Investors,Australia,Sydney
PGIM,Australia,Sydney
IFM Investors,Australia,Melbourne
IFM Investors,Australia,Melbourne
IFM Investors,Australia,Melbourne
IFM Investors,Australia,Melbourne
IFM Investors,Australia,Sydney
IFM Investors,Australia,Sydney
CVC,Australia,Melbourne
PGIM,Australia,Sydney
EQT,Australia,Sydney
CVC,Belgium,Brussels
"Apollo Global Management, Inc.",Germany,Frankfurt
Ares Management Corporation,Germany,Frankfurt
Blackstone,Germany,Frankfurt
DWS Group,Germany,Frankfurt
EQT,Germany,Munich
Brookfield,India,New Delhi
Blackstone,India,Mumbai
Goldman Sachs,India,Bengaluru
Bain Capital,India,Mumbai
Ardian,France,Paris
Starwood Capital Group,Luxembourg,Luxembourg
IFM Investors,Netherlands,Amsterdam
Partners Group,Switzerland,Zug
EQT,Singapore,Singapore
Warburg Pincus LLC,Singapore,Singapore
"Oaktree Capital Management, L.P.",Singapore,Singapore
"Apollo Global Management, Inc.",UK,London
CVC,Sweden,Stockholm
DWS Group,Switzerland,Zurich
Partners Group,Switzerland,Zug
CVC,Switzerland,Geneva
Partners Group,Switzerland,Zug
Partners Group,Switzerland ,Zug
Barings,UAE,Dubai
HarbourVest Partners,UAE,Dubai
Partners Group,Switzerland,Zug
Blackstone,UK,London
DWS Group,UK,London
Blackstone,UK,London
"Oaktree Capital Management, L.P.",UK,London
Brookfield,UK,London
CVC,UK,London
DWS Group,UK,London
CVC,UK,London
CVC,UK,London
EQT,UK,London
ICG,UK,London
CVC,UK,London
Blackstone,UK,London
Blackstone,UK,London
The Carlyle Group,UK,London
"Apollo Global Management, Inc.",UK,London
Clearlake Capital Group,UK,London
EQT,UK,London
Brookfield,UK,London
Bain Capital,USA,Boston
The Carlyle Group,USA,New York
Blackstone,USA,New York
"Apollo Global Management, Inc.",USA,San Diego
ICG,USA,New York
"Apollo Global Management, Inc.",USA,New York
Silver Lake,USA,New York
Blue Owl Capital,USA,New York
Blackstone,USA,New York
Golub Capital,USA,New York
KKR,USA,New York
The Carlyle Group,USA,New York
"Apollo Global Management, Inc.",USA,New York
"Apollo Global Management, Inc.",USA,New York
"Apollo Global Management, Inc.",USA,New York
The Carlyle Group,USA,New York
The Carlyle Group,USA,New York
Ares Management Corporation,USA,New York
KKR,USA,New York
The Carlyle Group,USA,New York
The Carlyle Group,USA,Washington DC
The Carlyle Group,USA,New York
Starwood Capital Group,USA,New York
"Apollo Global Management, Inc.",USA,Dallas
Blackstone,USA,New York
TPG,USA,New York
Blackstone,USA,New York
Blue Owl Capital,USA,New York
"Oaktree Capital Management, L.P.",USA,Los Angeles
Brookfield,USA,New York
"Apollo Global Management, Inc.",USA,New York
Warburg Pincus LLC,USA,New York
Blackstone,USA,New York
Apollo Global Management,USA,New York
Macquarie Asset Management,USA,New York
Ares Management Corporation,USA,New York
"Apollo Global Management, Inc.",USA,New York
TPG,USA,Los Angeles
Blackstone,USA,New York
Macquarie Asset Management,USA,New York
PGIM,USA,New Jersey
Barings,USA,San Diego
"Apollo Global Management, Inc.",USA,Chicago
Bain Capital,USA,New York
Partners Group,USA,New York
Brookfield,USA,New York
Golub Capital,USA,New York
EQT,USA,New Jersey
Ares Management Corporation,USA,New York
"Apollo Global Management, Inc.",USA,New York
Blackstone,USA,New York
Blue Owl Capital,USA,New York
Ares Management Corporation,USA,New York
Permira,USA,New York
Blue Owl Capital,USA,New York
"Apollo Global Management, Inc.",USA,Houston
KKR,USA,New York
"Apollo Global Management, Inc.",USA,New York
TPG,USA,San Francisco
Blackstone,USA,New York
EQT,USA,"Birmingham, Michigan "
Warburg Pincus LLC,USA,New York
"Oaktree Capital Management, L.P.",USA,Dallas
TPG,USA,New York
Brookfield,USA,New York
TPG,USA,San Francisco