New firm,Country,Continent,Moves,Cities
Apollo Global Management,Germany,Europe,1,"Frankfurt"
Apollo Global Management,UK,Europe,2,"London"
Apollo Global Management,USA,North America,13,"San Diego; New York; Dallas; Chicago; Houston"
Ares Management Corporation,Germany,Europe,1,"Frankfurt"
Ares Management Corporation,USA,North America,4,"New York"
Bain Capital,India,Asia,1,"Mumbai"
Bain Capital,USA,North America,2,"Boston; New York"
Blackstone,Germany,Europe,1,"Frankfurt"
Blackstone,India,Asia,1,"Mumbai"
Blackstone,UK,Europe,4,"London"
Blackstone,USA,North America,8,"New York"
Blue Owl Capital,USA,North America,4,"New York"
Brookfield,India,Asia,1,"New Delhi"
Brookfield,UK,Europe,2,"London"
Brookfield,USA,North America,3,"New York"
CVC,Australia,Oceania,1,"Melbourne"
CVC,Belgium,Europe,1,"Brussels"
CVC,Sweden,Europe,1,"Stockholm"
CVC,Switzerland,Europe,1,"Geneva"
CVC,UK,Europe,4,"London"
DWS Group,Germany,Europe,1,"Frankfurt"
DWS Group,Switzerland,Europe,1,"Zurich"
DWS Group,UK,Europe,2,"London"
EQT,Australia,Oceania,1,"Sydney"
EQT,Germany,Europe,1,"Munich"
EQT,Singapore,Asia,1,"Singapore"
EQT,UK,Europe,2,"London"
EQT,USA,North America,2,"New Jersey; Birmingham, Michigan"
IFM Investors,Australia,Oceania,8,"Sydney; Melbourne"
IFM Investors,Netherlands,Europe,1,"Amsterdam"
KKR,USA,North America,3,"New York"
"Oaktree Capital Management, L.P.",Singapore,Asia,1,"Singapore"
"Oaktree Capital Management, L.P.",UK,Europe,1,"London"
"Oaktree Capital Management, L.P.",USA,North America,2,"Los Angeles; Dallas"
Partners Group,Switzerland,Europe,5,"Zug"
Partners Group,USA,North America,1,"New York"
PGIM,Australia,Oceania,2,"Sydney"
PGIM,USA,North America,1,"New Jersey"
The Carlyle Group,UK,Europe,1,"London"
The Carlyle Group,USA,North America,7,"New York; Washington DC"
TPG,USA,North America,5,"New York; Los Angeles; San Francisco"
Warburg Pincus LLC,Singapore,Asia,1,"Singapore"
Warburg Pincus LLC,USA,North America,2,"New York"